year,species,detections,common
2020,076,82,Humpback whale
2020,046,8,Sperm whale
2017,002,7,Offshore pantropical spotted dolphin
2020,079,7,Unidentified large whale
2020,002,5,Offshore pantropical spotted dolphin
2020,036,5,Short-finned pilot whale
2020,077,5,Unidentified dolphin or porpoise
2017,015,4,Rough-toothed dolphin
2020,015,4,Rough-toothed dolphin
2020,018,4,Bottlenose dolphin
2020,021,4,Risso's dolphin
2020,049,4,Unidentified beaked whale
2020,099,4,Rorqual identified as a Sei or Bryde's whale
2020,177,4,Unidentified small delphinid (Delphinus; Lagenorhynchus; Lissodelphis or Stenella)
2017,013,3,Striped dolphin
2020,013,3,Striped dolphin
2020,031,3,Melon-headed whale
2020,032,3,Pygmy killer whale
2020,033,3,False killer whale
2020,073,3,Sei whale
2020,098,3,Unidentified whale
2017,021,2,Risso's dolphin
2017,031,2,Melon-headed whale
2017,033,2,False killer whale
2017,065,2,Longman's beaked whale
2017,077,2,Unidentified dolphin or porpoise
2020,026,2,Fraser's dolphin
2020,070,2,Unidentified rorqual (Balaenoptera; Megaptera)
2020,078,2,Unidentified small whale
2017,032,1,Pygmy killer whale
2017,036,1,Short-finned pilot whale
2017,046,1,Sperm whale
2017,049,1,Unidentified beaked whale
2017,070,1,Unidentified rorqual (Balaenoptera; Megaptera)
2017,080,1,Unidentified Kogia - dwarf or pygmy sperm whale
2017,096,1,Unidentified cetacean
2017,177,1,Unidentified small delphinid (Delphinus; Lagenorhynchus; Lissodelphis or Stenella)
2020,048,1,Dwarf sperm whale
2020,051,1,Unidentified Mesoplodon
2020,059,1,Blaineville's beaked whale
2020,065,1,Longman's beaked whale
2020,071,1,Common minke whale
2020,074,1,Fin whale
2020,096,1,Unidentified cetacean
2020,102,1,Gray's spinner dolphin
2020,199,1,Rorqual identified as Fin; Sei; or Bryde's
2020,277,1,Unidentified medium delphinid (Feresa; Grampus; Steno or Tursiops)
2020,377,1,Unidentified large delphinid (Pseudorca; Orca or Globicephala)                           U
